# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
7309, 0, 1, 15.0000, 1, 1, 0, 1.0132, 0.9918, 0.9988, 1
7311, 1, 1, 1.0000, 1, 1, 0, 1.0636, 1.0209, 1.0030, 1
40081, 9, 4, 0.1114, 2, 1, 0, 1.0116, 1.0007, 1.0001, 0
1218, 1, 1, 10.0000, 1, 1, 0, 2.0589, 0.6184, 0.9483, 1
7315, 1, 1, 33.0000, 1, 0, 1, 1.0062, 0.9884, 0.9983, 1
40084, 8, 3, 0.1156, 4, 1, 0, 1.0297, 1.0182, 1.0026, 0
40085, 11, 4, 0.0909, 3, 1, 0, 1.0049, 0.9944, 0.9992, 0
40086, 15, 5, 0.0585, 4, 1, 0, 1.0055, 0.9956, 0.9994, 0
40087, 20, 6, 0.0410, 5, 1, 0, 1.0123, 1.0021, 1.0003, 0
40088, 24, 7, 0.0373, 4, 1, 0, 1.0087, 0.9987, 0.9998, 0
7324, 1, 1, 14.0000, 1, 0, 0, 1.0146, 0.9966, 0.9995, 1
40094, 1, 1, 3.0000, 1, 0, 0, 1.0063, 0.9948, 0.9993, 0
40099, 10, 5, 0.1170, 1, 1, 0, 1.0283, 1.0126, 1.0018, 0
40102, 1, 1, 1.0000, 1, 1, 0, 1.0041, 0.9934, 0.9991, 0
40107, 11, 5, 0.0827, 2, 1, 0, 1.0050, 0.9942, 0.9992, 0
7340, 1, 1, 44.0000, 1, 0, 1, 1.0506, 1.0201, 1.0029, 1
40109, 20, 7, 0.0373, 4, 1, 0, 1.0309, 1.0145, 1.0021, 0
7346, 1, 1, 4.0000, 1, 1, 0, 1.0100, 0.9891, 0.9984, 1
40116, 1, 1, 2.0000, 1, 0, 0, 1.0125, 0.9891, 0.9984, 0
7349, 1, 1, 5.0000, 1, 1, 0, 1.0389, 1.0140, 1.0020, 1
7350, 1, 1, 1.0000, 1, 1, 0, 1.0262, 1.0028, 1.0004, 1
7351, 1, 1, 2.0000, 1, 1, 0, 1.1533, 1.1117, 1.0162, 1
40121, 9, 5, 5.3757, 2, 1, 0, 1.0038, 0.9940, 0.9992, 0
7356, 0, 1, 9.0000, 1, 1, 0, 1.2299, 1.1742, 1.0255, 1
40125, 18, 9, 2.4551, 2, 1, 0, 1.0047, 0.9943, 0.9992, 0
40126, 20, 10, 2.1334, 2, 1, 0, 1.0860, 1.0649, 1.0094, 0
7359, 1, 1, 9.0000, 1, 0, 0, 1.0084, 0.9948, 0.9993, 1
40128, 2, 1, 2.8284, 2, 1, 0, 1.0230, 0.9940, 0.9991, 0
7363, 1, 1, 12.0000, 1, 0, 0, 1.0117, 0.9952, 0.9993, 1
