# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
32822, 1, 1, 1.0000, 1, 1, 0, 1.0332, 0.9983, 0.9998, 0
32823, 1, 1, 4.0000, 1, 0, 0, 1.0364, 1.0038, 1.0005, 0
32824, 2, 2, 1.5874, 1, 1, 0, 1.0053, 0.9769, 0.9967, 0
32825, 3, 3, 0.9245, 1, 1, 0, 1.0073, 0.9815, 0.9974, 0
32826, 4, 4, 0.6300, 1, 1, 0, 1.0150, 0.9903, 0.9986, 0
32827, 5, 5, 0.4678, 1, 1, 0, 1.0174, 0.9935, 0.9991, 0
32828, 1, 1, 1.0000, 1, 1, 0, 1.0688, 1.0400, 1.0057, 0
32829, 2, 2, 0.3969, 1, 1, 0, 1.0367, 1.0077, 1.0011, 0
32830, 3, 3, 0.2311, 1, 1, 0, 1.0377, 1.0075, 1.0011, 0
32831, 4, 4, 0.1575, 1, 1, 0, 1.0154, 0.9877, 0.9982, 0
32832, 5, 5, 0.1170, 1, 1, 0, 1.0467, 1.0158, 1.0023, 0
32833, 1, 1, 3.0000, 1, 1, 0, 1.0364, 1.0024, 1.0003, 0
32834, 1, 1, 5.0000, 1, 0, 0, 1.0324, 0.9922, 0.9989, 0
32835, 1, 1, 3.0000, 1, 1, 0, 1.0398, 1.0079, 1.0011, 0
32836, 1, 1, 2.0000, 1, 1, 0, 1.0148, 0.9880, 0.9983, 0
32837, 1, 1, 100.0000, 1, 0, 0, 1.0076, 0.9777, 0.9968, 0
32838, 2, 2, 39.6850, 1, 1, 0, 1.0107, 0.9831, 0.9976, 0
32839, 4, 3, 16.3427, 2, 1, 0, 1.0302, 1.0018, 1.0002, 0
32840, 5, 4, 15.7490, 1, 1, 0, 1.0062, 0.9811, 0.9973, 0
32841, 7, 5, 8.2704, 2, 1, 0, 1.0257, 1.0001, 1.0000, 0
32842, 9, 6, 6.4856, 2, 1, 0, 1.0437, 1.0154, 1.0022, 0
32843, 10, 7, 7.4680, 1, 1, 0, 1.0265, 0.9989, 0.9998, 0
32844, 11, 8, 6.2500, 1, 1, 0, 1.0071, 0.9824, 0.9975, 0
32845, 12, 9, 5.3417, 1, 1, 0, 1.0099, 0.9870, 0.9981, 0
32846, 13, 10, 4.6416, 1, 1, 0, 1.0142, 0.9923, 0.9989, 0
32847, 1, 1, 1.0000, 1, 1, 0, 1.0342, 1.0111, 1.0016, 0
32848, 1, 1, 3.0000, 1, 1, 0, 1.0233, 0.9951, 0.9993, 0
32849, 1, 1, 2.0000, 1, 0, 0, 1.0065, 0.9798, 0.9971, 0
32850, 1, 1, 2.0000, 1, 0, 0, 1.0371, 1.0025, 1.0004, 0
32851, 2, 1, 0.7071, 2, 1, 0, 1.0133, 0.9821, 0.9975, 0
32852, 3, 2, 0.3969, 1, 1, 0, 1.0132, 0.9843, 0.9978, 0
32853, 4, 3, 0.2311, 1, 1, 0, 1.1392, 1.0921, 1.0133, 0
32854, 5, 4, 0.1575, 1, 1, 0, 1.0812, 1.0318, 1.0046, 0
32855, 6, 5, 0.1170, 1, 1, 0, 1.1158, 1.0563, 1.0081, 0
32856, 1, 1, 1.0000, 1, 1, 0, 1.0092, 0.9588, 0.9942, 0
32857, 1, 1, 1.0000, 1, 1, 0, 1.0262, 0.9829, 0.9976, 0
32858, 1, 1, 1.0000, 1, 1, 0, 1.0431, 0.9990, 0.9999, 0
32859, 2, 2, 0.3969, 1, 1, 0, 1.0490, 1.0041, 1.0006, 0
32860, 3, 3, 0.2311, 1, 1, 0, 1.0689, 1.0201, 1.0029, 0
32861, 1, 1, 1.0000, 1, 1, 0, 1.0102, 0.9726, 0.9961, 0
32862, 1, 1, 6.0000, 1, 0, 0, 1.0523, 1.0153, 1.0022, 0
