# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
13597, 1, 1, 1.0000, 1, 0, 0, 1.1680, 0.9330, 0.9905, 0
13598, 3, 1, 0.5774, 3, 0, 0, 1.1056, 0.9058, 0.9867, 0
13599, 5, 2, 0.2806, 2, 1, 0, 1.2634, 1.0306, 1.0044, 0
13601, 3, 1, 0.5774, 3, 0, 0, 1.1193, 0.9421, 0.9917, 0
13602, 1, 1, 1.0000, 1, 0, 0, 1.1431, 0.9587, 0.9942, 0
13603, 3, 2, 0.2806, 2, 1, 0, 1.7291, 1.3728, 1.0564, 0
13604, 2, 1, 1.4142, 2, 0, 0, 1.9440, 1.4054, 1.0615, 0
13605, 3, 2, 0.7937, 1, 1, 0, 1.9190, 1.3233, 1.0484, 0
13607, 2, 2, 0.7937, 1, 1, 0, 1.2457, 0.8578, 0.9801, 0
13608, 3, 3, 0.4622, 1, 1, 0, 1.3863, 0.9601, 0.9943, 0
13609, 4, 4, 0.3150, 1, 0, 0, 1.2800, 0.8993, 0.9858, 0
13610, 5, 5, 0.2339, 1, 1, 0, 1.1770, 0.8451, 0.9784, 0
13613, 2, 1, 2.8284, 2, 0, 0, 1.9523, 1.0881, 1.0127, 0
13614, 4, 1, 2.0000, 4, 0, 0, 1.9535, 1.1364, 1.0199, 0
13615, 1, 1, 3.0000, 1, 0, 0, 1.0860, 0.7309, 0.9630, 0
13616, 3, 2, 0.8418, 2, 1, 0, 1.2265, 0.8438, 0.9782, 0
13618, 5, 4, 0.4725, 1, 0, 0, 3.4056, 2.0373, 1.1740, 0
13619, 8, 5, 0.2026, 3, 1, 0, 1.4281, 0.8702, 0.9818, 0
13620, 2, 1, 2.1213, 2, 0, 0, 1.1918, 0.7075, 0.9599, 0
13621, 3, 2, 1.1906, 1, 1, 0, 1.1195, 0.6936, 0.9581, 0
13626, 4, 3, 0.9245, 1, 0, 0, 1.7118, 0.9779, 0.9968, 0
