# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
4318, 5, 3, 0.2669, 3, 1, 0, 1.2512, 0.9050, 0.9865, 0
4319, 5, 3, 0.5337, 3, 1, 0, 1.0722, 0.7346, 0.9635, 0
4320, 82, 8, 0.0884, 2, 0, 0, 1.1203, 0.8403, 0.9778, 0
4321, 1, 1, 5.0000, 1, 1, 0, 1.0273, 1.0006, 1.0001, 1
4322, 1, 1, 38.0000, 1, 0, 0, 3.0847, 1.3780, 1.0571, 1
4323, 81, 7, 6.8705, 1, 0, 0, 1.0430, 1.0153, 1.0022, 0
4324, 5, 3, 1.1556, 1, 0, 0, 1.6048, 0.8556, 0.9797, 0
4325, 22, 5, 0.0827, 8, 1, 0, 1.0082, 0.9259, 0.9895, 0
4326, 1, 1, 4.0000, 1, 1, 0, 1.0117, 0.9683, 0.9955, 0
4327, 3, 1, 1.7321, 3, 0, 0, 1.5849, 0.9878, 0.9984, 0
4328, 3, 2, 1.1906, 1, 1, 0, 1.2005, 0.8710, 0.9819, 0
4329, 5, 2, 0.2291, 3, 1, 0, 1.6782, 0.9439, 0.9921, 0
4330, 35, 5, 0.0649, 13, 1, 0, 1.0466, 0.8199, 0.9749, 0
4331, 1, 2, 0.3969, 1, 0, 0, 1.0726, 0.7003, 0.9590, 0
4332, 1, 1, 79.0000, 1, 0, 0, 1.0084, 0.9981, 0.9997, 1
4333, 6, 5, 0.1170, 1, 1, 0, 1.0759, 1.0015, 1.0002, 0
4334, 1, 1, 1.0000, 1, 0, 0, 12.3164, 3.6140, 1.5960, 1
4335, 1, 1, 4.0000, 1, 1, 0, 1.0070, 0.9794, 0.9971, 0
4336, 1, 1, 8.0000, 1, 0, 0, 1.0001, 0.9941, 0.9992, 1
4337, 1, 1, 9.0000, 1, 0, 0, 1.0073, 0.9854, 0.9979, 1
4338, 6, 4, 0.6300, 1, 0, 0, 1.2339, 0.9379, 0.9912, 0
4339, 1, 1, 1.0000, 1, 0, 0, 1.0645, 0.9942, 0.9992, 0
4340, 0, 1, 17.0000, 1, 1, 0, 1.1637, 0.6845, 0.9569, 1
4341, 3, 1, 0.5774, 3, 1, 0, 1.0403, 0.7754, 0.9690, 0
4342, 1, 1, 1.0000, 1, 1, 0, 1.0156, 0.9806, 0.9972, 0
4343, 18, 16, 2.4803, 1, 1, 0, 1.0136, 1.0062, 1.0009, 0
4344, 1, 1, 29.0000, 1, 0, 0, 1.1133, 0.9336, 0.9906, 1
4345, 0, 1, 10.0000, 1, 1, 0, 1.6610, 1.5004, 1.0770, 1
4346, 5, 2, 1.1456, 3, 1, 0, 1.0041, 0.9940, 0.9992, 0
4347, 4, 4, 15.7490, 1, 1, 0, 1.0446, 0.9256, 0.9895, 0
4348, 31, 5, 4.3929, 6, 1, 0, 1.0113, 0.9867, 0.9981, 0
4349, 2, 2, 0.3969, 1, 1, 0, 1.0690, 1.0067, 1.0010, 0
4350, 2, 1, 58.6899, 2, 0, 1, 1.7644, 1.2923, 1.0436, 1
4351, 12, 5, 0.3308, 2, 0, 0, 1.2440, 0.5328, 0.9374, 0
4352, 6, 4, 0.4454, 2, 0, 0, 1.2377, 0.7818, 0.9698, 0
4353, 4, 2, 0.2291, 3, 1, 0, 1.1094, 0.8666, 0.9814, 0
4354, 15, 7, 0.0373, 4, 1, 0, 1.0421, 0.9852, 0.9979, 0
4355, 16, 10, 4.6416, 1, 0, 0, 1.0105, 0.9763, 0.9966, 0
4356, 2, 2, 39.6850, 1, 1, 0, 1.0421, 1.0116, 1.0017, 0
4357, 8, 4, 0.2227, 2, 1, 0, 1.0422, 1.0220, 1.0031, 0
4358, 7, 4, 0.1114, 2, 1, 0, 1.0163, 0.9777, 0.9968, 0
4359, 5, 4, 0.1575, 1, 1, 0, 1.0009, 0.9760, 0.9966, 0
4360, 8, 4, 0.2362, 4, 0, 0, 1.3397, 0.9322, 0.9904, 0
4361, 4, 2, 0.6874, 3, 1, 0, 1.3058, 0.9680, 0.9956, 0
4362, 1, 1, 61.0000, 1, 0, 0, 1.0630, 0.9543, 0.9935, 1
4363, 4, 3, 0.4903, 2, 1, 0, 1.0493, 1.0021, 1.0003, 0
4364, 1, 1, 16.0000, 1, 0, 0, 1.0000, 0.9676, 0.9954, 1
4365, 3, 3, 23.1120, 1, 1, 0, 1.0078, 0.9939, 0.9991, 0
4366, 1, 1, 4.0000, 1, 0, 0, 1.7109, 1.1732, 1.0254, 0
4367, 2, 1, 1.4142, 2, 0, 0, 1.8981, 1.0853, 1.0123, 0
4368, 1, 1, 18.0000, 1, 1, 0, 1.1225, 0.9843, 0.9978, 1
4369, 3, 1, 0.5774, 3, 1, 0, 1.4719, 1.1196, 1.0173, 0
4370, 31, 8, 0.0442, 2, 0, 0, 1.0405, 0.9969, 0.9996, 0
4371, 7, 6, 0.1834, 1, 1, 0, 1.1084, 0.7788, 0.9694, 0
4372, 2, 2, 5.1591, 1, 1, 0, 1.0084, 0.9950, 0.9993, 1
4373, 1, 1, 19.0000, 1, 0, 0, 1.0085, 1.0026, 1.0004, 1
4374, 6, 6, 0.0917, 1, 0, 0, 1.3300, 0.9781, 0.9970, 0
4375, 37, 4, 0.1494, 10, 1, 0, 1.0032, 0.9870, 0.9981, 0
4376, 4, 3, 0.6934, 1, 1, 0, 1.0701, 0.6614, 0.9538, 0
4377, 1, 1, 100.0000, 1, 0, 0, 1.1683, 0.9763, 0.9966, 1
4378, 59, 5, 0.0585, 4, 1, 0, 1.1047, 0.7940, 0.9714, 0
4379, 4, 1, 2.0000, 4, 0, 0, 1.3008, 0.8572, 0.9801, 0
4380, 9, 5, 0.2339, 1, 0, 0, 1.0162, 0.9828, 0.9975, 0
4381, 2, 1, 2.8284, 2, 0, 0, 2.2030, 1.6064, 1.0949, 0
4382, 1, 1, 15.0000, 1, 1, 0, 1.9915, 0.9414, 0.9917, 1
4383, 77, 4, 0.1343, 22, 0, 0, 1.3010, 0.9219, 0.9889, 0
4384, 11, 8, 6.2500, 1, 1, 0, 1.1586, 1.0557, 1.0080, 0
4385, 1, 1, 7.0000, 1, 1, 0, 1.0735, 1.0340, 1.0049, 0
4386, 2, 1, 0.7071, 2, 0, 0, 4.0579, 2.4708, 1.2659, 0
4387, 1, 1, 1.0000, 1, 0, 0, 1.2308, 1.0562, 1.0081, 0
4388, 1, 1, 87.0000, 1, 0, 0, 1.0188, 0.9395, 0.9914, 0
4389, 5, 2, 1.1456, 3, 1, 0, 1.0315, 1.0129, 1.0018, 0
4390, 3, 2, 0.2806, 2, 1, 0, 1.0313, 0.9962, 0.9995, 0
4391, 5, 3, 5.0846, 1, 1, 0, 6.3935, 1.9792, 1.1627, 1
4392, 1, 1, 1.0000, 1, 0, 0, 1.0120, 0.9845, 0.9978, 0
4393, 1, 1, 5.0000, 1, 1, 0, 1.0070, 0.9122, 0.9876, 1
4394, 1, 1, 1.0000, 1, 0, 0, 1.4799, 1.0544, 1.0079, 0
4395, 4, 1, 1.0000, 4, 0, 0, 1.3083, 1.0581, 1.0084, 0
4396, 5, 3, 0.2311, 1, 1, 0, 1.0177, 0.9699, 0.9957, 0
4397, 1, 1, 12.0000, 1, 0, 0, 1.0129, 0.9935, 0.9991, 1
4398, 7, 2, 0.8418, 2, 1, 0, 1.6021, 1.0822, 1.0120, 0
4399, 2, 1, 7.0711, 2, 0, 0, 3.0095, 1.1458, 1.0213, 1
4400, 7, 7, 3.5099, 1, 1, 0, 1.1242, 0.8219, 0.9752, 1
4401, 5, 2, 0.2806, 2, 1, 0, 1.0038, 0.9617, 0.9946, 0
4402, 1, 1, 3.0000, 1, 1, 0, 1.0578, 0.9928, 0.9990, 0
4403, 3, 2, 0.5612, 2, 1, 0, 1.1223, 0.7560, 0.9663, 0
4404, 6, 3, 13.5644, 2, 1, 0, 1.0278, 0.9723, 0.9961, 0
4405, 2, 2, 2.3811, 1, 1, 0, 1.0047, 0.9851, 0.9979, 0
4406, 1, 1, 28.0000, 1, 0, 0, 1.0071, 0.9986, 0.9998, 1
4407, 1, 1, 5.0000, 1, 1, 0, 1.1043, 1.0170, 1.0024, 0
4408, 8, 2, 16.3279, 5, 1, 0, 1.0173, 0.9942, 0.9992, 0
4409, 4, 5, 0.3509, 1, 0, 0, 1.4024, 1.0775, 1.0113, 0
4410, 11, 8, 0.0722, 3, 1, 0, 1.1725, 0.8691, 0.9816, 0
4411, 1, 1, 18.0000, 1, 0, 0, 1.0349, 0.9651, 0.9950, 1
4412, 1, 1, 3.0000, 1, 1, 0, 1.1036, 0.4690, 0.9295, 1
4413, 1, 1, 12.0000, 1, 1, 0, 1.0222, 0.9292, 0.9900, 1
4414, 3, 2, 1.5874, 1, 1, 0, 2.3244, 1.4727, 1.0724, 0
4415, 1, 1, 77.0000, 1, 0, 0, 1.0425, 0.9689, 0.9956, 1
4416, 4, 3, 0.9245, 1, 0, 0, 1.1787, 0.9137, 0.9879, 0
4417, 15, 4, 0.6300, 1, 0, 0, 1.0210, 0.9403, 0.9915, 0
4418, 5, 5, 0.3509, 1, 1, 0, 1.0223, 0.9874, 0.9982, 0
4419, 2, 1, 3.5355, 2, 0, 0, 1.3706, 0.9418, 0.9918, 0
4420, 1, 1, 100.0000, 1, 0, 0, 1.0070, 0.9784, 0.9969, 1
4421, 14, 10, 4.6416, 1, 1, 0, 1.0106, 0.9694, 0.9957, 0
4422, 9, 3, 0.9341, 3, 1, 0, 1.0125, 0.9626, 0.9947, 0
4423, 1, 1, 10.0000, 1, 1, 0, 1.1064, 0.9928, 0.9990, 1
4424, 5, 2, 1.1456, 3, 1, 0, 1.1358, 0.5920, 0.9450, 0
4425, 1, 1, 15.0000, 1, 0, 0, 1.0039, 0.9769, 0.9967, 1
4426, 1, 1, 1.0000, 1, 1, 0, 1.0405, 0.7269, 0.9624, 0
4427, 1, 1, 28.0000, 1, 0, 0, 1.0318, 1.0183, 1.0026, 1
4428, 5, 4, 0.1114, 2, 0, 0, 1.0082, 0.9745, 0.9964, 0
4429, 15, 4, 0.3522, 5, 1, 0, 1.0018, 0.9919, 0.9988, 0
4430, 1, 1, 4.0000, 1, 0, 0, 2.0913, 1.3916, 1.0594, 0
